,CANDIDATE,DATE,TITLE,DESCRIPTION,PUBLISHER,CATEGORY,Related to the Candidate,pct_estimate,Title_Sentiment,Description_Sentiment,pct_estimate_normalized,Daily_Title_Sentiment,Daily_Description_Sentiment,Main_Topics,ABSA_Title,ABSA_Description,Daily_pct_estimate_evolution,Daily_Title_Sentiment_evolution
0,DeSantis,2023-03-16,"""Out-of-state colleges pitch their schools to Florida students and educators""",Out-of-state educators have a message for those questioning Florida's education system: come join us.,Wfla,Top,No,34.00610636206288,76.28899243231287,92.04814532377912,90.82594983322284,13.373935602894639,61.204208669914664,state colleges,{},{},0,0
1,DeSantis,2023-03-16,"""Kamala Harris Visits ‘Late Show with Stephen Colbert,’ Talks Abortion Rights, Ukraine and 2024 Election""","Vice President Kamala Harris returned to The Late Show with Stephen Colbert on Wednesday, where she discussed laws currently being passed about reproductive rights, calling them “inhumane.” She also shared her thoughts on Florida Gov. Ron DeSantis‘ claim that the war on Ukraine is a “territorial dispute” and what she believes will be the key […]",The Hollywood Reporter,Entertainment,Yes,34.00610636206288,24.28437871417982,96.9148083806954,90.82594983322284,13.373935602894639,61.204208669914664,kamala harris,{},"{'rights': 'reproductive', 'dispute': 'territorial'}",0,0
2,DeSantis,2023-03-16,"""Kamala Harris Slams Ron DeSantis’ Ukraine Statement""","The likely 2024 GOP presidential candidate referred to Russia’s war in Ukraine as not one of America’s “many vital national interests.""",Huffpost,Top,No,34.00610636206288,54.25029647760364,99.38548770629544,90.82594983322284,13.373935602894639,61.204208669914664,kamala harris,{},"{'candidate': 'presidential', 'interests': 'national'}",0,0
3,DeSantis,2023-03-16,"""The GOP Campaign Trail Is Already Getting DeSantis-Proofed""","Photo Illustration by Luis G. Rendon/The Daily Beast/Reuters/PixabayAt any given fundraiser or VIP room where he’s present, Ron DeSantis is usually easy to find—in the corner, keeping to himself.Despite having a job that entails exchanging small talk and pleasantries on a daily basis, the Florida governor tends to brush off those obligations and struggles with basic social skills, according to a source close to DeSantis, several of his former staffers, and other GOP operatives who have worked with him and his team.As DeSantis gears up for a potential White House run in 2024, his aloof public persona is being thought of by his rivals—namely, former President Donald Trump—as his Achilles heel in the retail politics-heavy early primary states.Read more at The Daily Beast.Got a tip? Send it to The Daily Beast here",The Daily Beast,Top,Yes,34.00610636206288,26.970129650065083,99.44467886619172,90.82594983322284,13.373935602894639,61.204208669914664,gop campaign,{},"{'fundraiser': 'given', 'talk': 'small', 'basis': 'daily', 'skills': 'social', 'source': 'close', 'staffers': 'former', 'operatives': 'other', 'persona': 'public', 'states': 'primary'}",0,0
4,DeSantis,2023-03-16,"""St. Pete protesters aim to fight Florida permitless carry bills""",A protest of gun legislation moving through the Florida legislature is planned for Thursday afternoon outside St. Petersburg City Hall.,Wfla,Top,No,34.00610636206288,98.11106956795768,88.4694356314324,90.82594983322284,13.373935602894639,61.204208669914664,st. pete,{},{},0,0
5,DeSantis,2023-03-16,"""Trump maintains front-runner status over DeSantis in new poll of GOP primary voters""","Former President Donald Trump remains the front-runner of the emerging GOP presidential primary field and maintains a double-digit lead over Florida Gov. Ron DeSantis, who hasn't launched a 2024 campaign but is considered the ex-president's main rival, according to a new poll.","The Washington Times , America’s Newspaper",Top,Yes,34.00610636206288,42.54091486462457,98.6237786978136,90.82594983322284,13.373935602894639,61.204208669914664,trump runner,"{'runner': 'front', 'poll': 'new', 'voters': 'primary'}","{'runner': 'front', 'field': 'primary', 'digit': 'double', 'rival': 'main', 'poll': 'new'}",0,0
6,DeSantis,2023-03-16,"""DeSantis says Florida would never be a 'Faucian dystopia' due to COVID response""",Florida Gov. Ron DeSantis and Surgeon General Dr. Joseph Ladapo are expected to speak in Winter Haven Thursday morning.,Wfla,Top,Yes,34.00610636206288,3.096419138069658,44.594581701094064,90.82594983322284,13.373935602894639,61.204208669914664,desantis florida,{'dystopia': 'due'},{},0,0
7,DeSantis,2023-03-16,"""America's downward elevator ride: Biden promises hope — is that enough?""",Joe Biden comforted a grieving community in Monterey Park — it's what he does best. So why don't I feel better?,Salon,Top,No,34.00610636206288,9.034401910544544,99.73875028057064,90.82594983322284,13.373935602894639,61.204208669914664,america elevator,{'elevator': 'downward'},{'community': 'grieving'},0,0
8,DeSantis,2023-03-16,"""Trump Ramps Up DeSantis Attacks: Allies Prepare Ethics Complaint And Look For Dirt On Florida Governor""","Former President Donald Trump and his allies are turning up the heat on Florida Gov. Ron DeSantis, preparing an ethics complaint against DeSantis as both potential presidential nominees have increased their political activity in recent weeks.",Forbes,Business,Yes,34.00610636206288,88.25299071894638,98.78133953065452,90.82594983322284,13.373935602894639,61.204208669914664,trump ramps,{},"{'nominees': 'presidential', 'activity': 'political', 'weeks': 'recent'}",0,0
9,DeSantis,2023-03-16,"""Ron DeSantis Leads 18 States in Alliance Fighting Biden's ESG""","Florida Gov. Ron DeSantis (R), along with the governors of 18 other states, is taking action against President Joe Biden's environmental, social, and corporate governance (ESG) agenda.",Brietbart,Top,Yes,34.00610636206288,10.787127587887351,93.54123428178328,90.82594983322284,13.373935602894639,61.204208669914664,ron desantis,{},"{'states': 'other', 'governance': 'corporate'}",0,0
10,DeSantis,2023-03-16,"""Florida Republican Says His Bill Would Ban Young Girls From Discussing Their Periods In School""","Rep. Stan McClain's (R) admitted that his bill would limit girls from talking about their periods, although he clarified that was not the intent.",Huffpost,Top,No,34.00610636206288,99.6188034210488,90.66412409844696,90.82594983322284,13.373935602894639,61.204208669914664,florida republican,{},{},0,0
11,DeSantis,2023-03-16,"""Harris slams DeSantis for saying Ukraine support is not a vital U.S. interest""","Kamala Harris criticized Florida Gov. Ron DeSantis' recent comments on Ukraine, saying that he may not have made such statements if he understood the issues.",Nbc News,Top,Yes,34.00610636206288,97.69458585502989,97.90742612315913,90.82594983322284,13.373935602894639,61.204208669914664,harris desantis,{'interest': 'vital'},"{'comments': 'recent', 'statements': 'such'}",0,0
12,DeSantis,2023-03-16,"""Trump blends new policies with old grievances in his 2024 campaign""",Trump's 2024 campaign is a mix of his old grievances and a number of new policy proposals — a shift from his last run from president.,Nbc News,Top,No,34.00610636206288,6.09416565751036,42.401765692694,90.82594983322284,13.373935602894639,61.204208669914664,trump blends,"{'policies': 'new', 'grievances': 'old'}","{'grievances': 'old', 'proposals': 'new', 'run': 'last'}",0,0
13,DeSantis,2023-03-16,"""“I will burn this session to the ground”: Neb. Dem filibusters for 3 weeks to block anti-trans bill""","""If you want to inflict pain upon our children, I am going to inflict pain upon this body,"" said Machaela Cavanaugh",Salon,Top,No,34.00610636206288,99.87328873819774,99.47046393322694,90.82594983322284,13.373935602894639,61.204208669914664,session ground,"{'filibusters': 'dem', 'bill': 'trans'}",{},0,0
14,DeSantis,2023-03-16,"""Josh Hawley labels Silicon Valley Bank 'too woke to fail'""","Sen. Josh Hawley, R-Mo., says Silicon Valley Bank went down because it was ""too woke to fail.""",Nbc News,Top,No,34.00610636206288,99.54521989496972,99.91313938796604,90.82594983322284,13.373935602894639,61.204208669914664,josh hawley,{},{},0,0
15,DeSantis,2023-03-16,"""Florida becomes eighth state to restrict transgender care for minors""",A Florida rule restricting transgender healthcare for minors is expected to face a lawsuit.,Nbc News,Top,No,34.00610636206288,97.64144617780627,98.89663289005756,90.82594983322284,13.373935602894639,61.204208669914664,florida state,{'state': 'eighth'},{},0,0
